ORIGIN,DEST,ON_TIME,DELAYED15MIN,DIVERTED,CANCELLED,TOTAL
SEA,IAH,6538,1201,24,31,7794
SEA,JFK,4832,833,33,89,5787
SEA,JNU,3096,421,31,21,3569
SEA,KOA,1036,206,10,0,1252
SEA,KTN,3358,447,28,21,3854
SEA,LAS,11275,1295,15,22,12607
SEA,LAX,14444,1905,6,49,16404
SEA,LGB,4126,589,10,30,4755
SEA,LIH,933,172,16,0,1121
SEA,MCI,987,123,1,1,1112
SEA,MCO,1508,155,2,1,1666
SEA,MDW,2599,305,11,15,2930
SEA,MEM,657,87,2,9,755
SEA,MIA,926,194,6,2,1128
SEA,MKE,1238,131,4,5,1378
SEA,MSP,7488,861,15,31,8395
SEA,MWH,262,7,0,2,271
SEA,OAK,9686,1333,3,50,11072
SEA,OGG,2382,433,14,0,2829
SEA,ONT,2790,318,4,9,3121
SEA,ORD,11219,2128,39,132,13518
SEA,PDX,8716,658,3,124,9501
SEA,PHL,2425,483,11,39,2958
SEA,PHX,13257,1473,21,86,14837
SEA,PSP,1728,182,3,8,1921
SEA,RNO,1153,135,2,6,1296
SEA,SAN,6712,731,22,18,7483
SEA,SAT,101,5,0,0,106
SEA,SBA,541,54,0,3,598
SEA,SFO,12408,4019,44,147,16618
SEA,SIT,260,25,2,1,288
SEA,SJC,7074,897,2,20,7993
SEA,SLC,8553,1300,5,50,9908
SEA,SMF,7636,1031,6,20,8693
SEA,SNA,7307,440,13,30,7790
SEA,STL,1649,254,7,9,1919
SEA,TUS,1020,112,4,2,1138
SFO,ABQ,858,443,3,9,1313
SFO,ACV,4446,2336,67,397,7246
SFO,ANC,249,82,0,0,331
SFO,ASE,287,168,21,20,496
SFO,ATL,8056,1580,36,48,9720
SFO,AUS,2911,987,3,36,3937
SFO,BFL,2111,950,12,91,3164
SFO,BOI,3401,1258,10,79,4748
SFO,BOS,7508,2358,16,121,10003
SFO,BUR,4246,1442,10,268,5966
SFO,BWI,983,404,2,16,1405
SFO,BZN,611,110,2,9,732
SFO,CEC,1071,861,48,106,2086
SFO,CIC,2778,1104,6,197,4085
SFO,CLE,1321,455,3,8,1787
SFO,CLT,3729,1015,8,26,4778
SFO,COS,704,377,8,11,1100
SFO,CVG,1221,248,4,8,1481
SFO,DCA,267,97,4,4,372
SFO,DEN,14156,3713,23,124,18016
SFO,DFW,11306,3144,77,236,14763
SFO,DTW,3328,601,10,17,3956
SFO,EUG,4857,1717,16,219,6809
SFO,EWR,6503,2552,39,168,9262
SFO,FAT,2782,1886,2,61,4731
SFO,FLL,1350,481,3,11,1845
SFO,GEG,1666,721,7,67,2461
SFO,GJT,1,0,1,0,2
SFO,HNL,5174,1700,9,47,6930
SFO,IAD,7847,2150,25,140,10162
SFO,IAH,6697,2147,19,38,8901
SFO,IDA,365,109,2,8,484
SFO,IND,3,0,0,0,3
SFO,ITO,33,29,0,0,62
SFO,JAC,58,8,0,4,70
SFO,JFK,17481,4042,95,435,22053
SFO,KOA,1558,353,1,5,1917
SFO,LAS,16600,4390,16,178,21184
SFO,LAX,32114,10246,18,1069,43447
SFO,LGB,3194,748,7,40,3989
SFO,LIH,971,213,6,0,1190
SFO,LMT,1381,472,15,46,1914
SFO,MCI,1319,480,8,18,1825
SFO,MCO,1410,421,5,3,1839
SFO,MDW,2203,652,21,22,2898
SFO,MEM,236,24,0,3,263
SFO,MFR,4346,2092,12,279,6729
SFO,MIA,2426,786,21,55,3288
SFO,MKE,1329,355,3,10,1697
SFO,MMH,209,69,1,66,345
SFO,MOD,2664,1377,2,389,4432
SFO,MRY,4079,1828,11,520,6438
